Date,Open Price,High Price,Low Price,Close Price,Deliverable Volume
2022-07-14,3056.0,3057.0,2967.0,2998.75,2817124
2022-07-15,3018.55,3028.9,2953.0,2994.6,2862510
2022-07-18,3023.0,3076.95,3014.3,3063.5,1699159
2022-07-19,3030.05,3078.95,3030.05,3074.25,989715
2022-07-20,3107.8,3171.95,3098.05,3164.8,2098351
2022-07-21,3167.0,3184.0,3144.05,3177.3,1285640
2022-07-22,3185.0,3197.0,3143.5,3171.0,1190020
2022-07-25,3165.0,3186.45,3149.1,3166.75,1068651
2022-07-26,3164.7,3168.9,3096.5,3115.9,1592860
2022-07-27,3115.0,3194.1,3110.0,3188.85,763038
2022-07-28,3216.0,3264.0,3201.65,3260.5,1021359
2022-07-29,3290.0,3317.3,3275.0,3301.9,1424468
2022-08-01,3327.0,3327.0,3271.0,3298.8,692180
2022-08-02,3290.0,3312.9,3271.65,3291.8,656936
2022-08-03,3280.0,3349.0,3277.05,3339.5,1538246
2022-08-04,3350.0,3387.9,3307.35,3354.95,1027973
2022-08-05,3361.2,3377.0,3355.0,3365.05,628702
2022-08-08,3365.0,3378.9,3336.0,3374.45,674222
2022-08-10,3385.0,3385.0,3335.0,3354.25,1337988
2022-08-11,3400.0,3428.7,3375.05,3422.5,776232
2022-08-12,3419.0,3419.0,3381.25,3401.55,922101
2022-08-16,3411.0,3414.85,3387.5,3392.7,475910
2022-08-17,3385.1,3417.95,3371.1,3401.1,941635
2022-08-18,3390.0,3392.0,3362.0,3381.25,903095
2022-08-19,3387.0,3421.5,3371.25,3385.75,703549
2022-08-22,3365.0,3384.1,3347.4,3354.55,1105238
2022-08-23,3319.95,3341.9,3270.0,3284.6,1011973
2022-08-24,3292.0,3308.0,3250.2,3255.35,995741
2022-08-25,3276.0,3278.15,3214.75,3218.2,1217432
2022-08-26,3234.3,3257.0,3216.8,3222.2,840396
2022-08-29,3125.0,3142.7,3081.0,3132.55,1546883
2022-08-30,3155.0,3226.5,3142.1,3211.15,2145710
2022-09-01,3190.0,3190.0,3121.0,3131.7,2222198
2022-09-02,3163.0,3163.0,3120.3,3130.4,1283634
2022-09-05,3123.65,3147.95,3112.25,3133.4,1483879
2022-09-06,3135.5,3140.85,3106.35,3127.05,1251306
2022-09-07,3102.0,3161.9,3102.0,3149.6,555995
2022-09-08,3170.0,3183.5,3160.1,3169.65,795911
2022-09-09,3195.0,3233.5,3168.5,3217.65,728411
2022-09-12,3239.9,3269.8,3225.0,3242.95,979563
2022-09-13,3263.45,3263.45,3225.0,3229.35,1409613
2022-09-14,3135.0,3141.4,3113.8,3120.4,2993544
2022-09-15,3130.0,3137.75,3100.0,3104.35,1330626
2022-09-16,3076.0,3094.35,3000.0,3008.7,3527573
2022-09-19,3036.0,3042.0,2987.8,3028.8,1163039
2022-09-20,3050.0,3079.95,3030.0,3040.3,818645
2022-09-21,3028.0,3041.4,2998.15,3001.2,1590408
2022-09-22,2990.0,3029.95,2979.3,3007.4,1200581
2022-09-23,3004.0,3022.5,2979.0,2982.05,1650283
2022-09-26,2959.85,3025.85,2926.1,2994.4,1748393
2022-09-27,3009.4,3025.0,2976.0,3017.45,1369166
2022-09-28,2980.0,3049.95,2980.0,3035.65,1836022
2022-09-29,3054.0,3055.85,2990.0,2997.3,1617742
2022-09-30,2990.85,3019.7,2950.1,3004.55,1650781
2022-10-03,2995.0,3020.7,2974.0,2984.95,1030275
2022-10-04,3029.95,3098.0,3023.0,3091.15,1076883
2022-10-06,3111.0,3124.0,3092.45,3101.95,1104816
2022-10-07,3097.4,3105.0,3058.1,3064.9,1170494
2022-10-10,3010.0,3127.0,3005.0,3118.55,1184324
2022-10-11,3100.0,3145.0,3053.35,3069.55,1381250
2022-10-12,3084.9,3109.9,3062.05,3100.75,723677
2022-10-13,3100.75,3110.0,3052.35,3103.3,1129490
2022-10-14,3145.0,3150.0,3071.0,3099.15,1086310
2022-10-17,3072.65,3128.4,3071.45,3111.75,809347
2022-10-18,3150.0,3155.35,3128.55,3144.7,1137170
2022-10-19,3159.0,3159.0,3112.0,3121.85,640341
2022-10-20,3105.0,3160.0,3105.0,3157.3,929125
2022-10-21,3157.8,3160.4,3127.0,3137.4,539414
